ID,Restaurant,Address,Time,Price,District
1463,Cơm Tấm Thuận Kiều - Thuận Kiều,"54 Thuận Kiều, P. 4, Quận 11, TP. HCM",06:30 - 20:30,20.000 - 55.000,Quận 11
1464,Bún Bò Huế - Đường Số 6,"1C Đường Số 6, Quận 11, TP. HCM",,23.000 - 38.000,Quận 11
1465,Năm Đoan - Bánh Canh Cá Lóc,"03 Lô B2 Chung Cư 319, Lý Thường Kiệt, P. 15, Quận 11, TP. HCM",07:00 - 19:00,25.000 - 37.000,Quận 11
1466,Sành Quán - Bún Nước Lèo - Tạ Uyên,"120 Tạ Uyên, P. 4, Quận 11, TP. HCM",06:30 - 20:30,0 - 0,Quận 11
1467,Chuối Nếp Nướng & Cháo Lòng,"7/1 Trịnh Đình Trọng, P. 5, Quận 11, TP. HCM",07:00 - 14:00,10.000 - 30.000,Quận 11
1468,"Phở Ngoon - Phở Bò, Phở Gà & Bò Kho","1456E Đ. 3/2, P. 2, Quận 11, TP. HCM",06:00 - 22:00,0 - 0,Quận 11
1469,Gà Rán Popeyes - Lê Đại Hành,"397A Lê Đại Hành, P. 11, Quận 11, TP. HCM",10:00 - 21:30,30.000 - 170.000,Quận 11
1470,A.Kê - Mì Gà Cay HongKong & Mì Xá Xíu Trứng Muối - Lãnh Binh Thăng,"248 Lãnh Binh Thăng, P. 13 ( Ngay Góc Ngã Tư Đường Tôn Thất Hiệp Với Đường Lãnh Binh Thăng ) , Quận 11, TP. HCM",08:00 - 23:00,0 - 0,Quận 11
1471,Ông Lễ - Hủ Tiếu Mì Sa Tế Bò & Nai,"215 Xóm Đất, P. 9 , Quận 11, TP. HCM",,35.000 - 55.000,Quận 11
1472,Bánh Mì 7.7 - Bánh Mì Xíu Mại - Lý Thường Kiệt,"91 Lý Thường Kiệt, P.7, Quận 11, TP. HCM",05:00 - 23:00,10.000 - 50.000,Quận 11
1473,Bún Bò Cô Hạnh Chi Nhánh Gốc - Hà Tôn Quyền,"190 - 192 Hà Tôn Quyền, P. 6, Quận 11, TP. HCM",,0 - 0,Quận 11
1474,Quán Mì Gọt Ngon,"186 Bình Thới, P. 14, Quận 11, TP. HCM",07:00 - 22:00,25.000 - 40.000,Quận 11
1475,"Phong Thuận - Cơm Gà Xối Mỡ, Dimsum & Bò Né Sốt Tiêu Đen","41 Đội Cung, P. 13, Quận 11, TP. HCM",,0 - 0,Quận 11
1476,Bánh Mì Hà Nội Hiệp Hưng - Ông Ích Khiêm,"93 Ông Ích Khiêm, P. 10, Quận 11, TP. HCM",00:00 - 23:59,15.000 - 30.000,Quận 11
1477,Sữa Chua Phomai Trúc Mỡ - Bình Thới,"Số 89, Đường 100 Bình Thới, P. 14, Quận 11, TP. HCM",08:00 - 22:00,0 - 0,Quận 11
1478,Bánh Ngọt Bảo Huy,"60E Xóm Đất, P. 8, Quận 11, TP. HCM",07:30 - 19:00,50.000 - 150.000,Quận 11
1479,Bánh Mì Que Pháp - Co.op Mart Phú Thọ,"Khu A Chung Cư Phú Thọ, D28 Lữ Gia, P. 15, Quận 11, TP. HCM",06:45 - 19:00,10.000 - 17.000,Quận 11
1480,"Hủ Tiếu Hồ - Hủ Tiếu Xào, Trà Mãng Cầu & Trà Trái Cây - Minh Phụng","394/16 Minh Phụng, P. 9, Quận 11, TP. HCM",,25.000 - 60.000,Quận 11
1481,Trần Quang Ký - Vịt Quay Sốt Tiêu Đen - Âu Cơ,"55 Âu Cơ, P. 14, Quận 11, TP. HCM",06:30 - 20:30,100.000 - 250.000,Quận 11
1482,Bếp Nhà Muội - Điểm Tâm & Hủ Tíu Mì,"101 Lô K Cư Xá Bình Thới, Đường Số 6, P. 8, Quận 11, TP. HCM",,9.000 - 35.000,Quận 11
1483,Phở 25k - 349 Minh Phụng,"349 Minh Phụng, P. 2, Quận 11, TP. HCM",06:00 - 22:00,0 - 0,Quận 11
1484,Gờ Cafe - Lý Thường Kiệt,"Lô 004 Chung Cư Thuận Việt, 319 Lý Thường Kiệt, P. 15, Quận 11, TP. HCM",06:30 - 21:30,17.000 - 32.000,Quận 11
1485,Chè LuLu - Chè Khúc Bạch - Đường 3/2,"1231 Đường 3/2, P. 6, Quận 11, TP. HCM",,0 - 0,Quận 11
1486,Cháo Ếch Singapore - Hạ Vũ,"355 Nguyễn Thị Nhỏ, P. 16, Quận 11, TP. HCM",00:00 - 23:59,45.000 - 130.000,Quận 11
